"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.644526769E1,6.498449864E1,2.551586698E1,1.131372988E1,1.570000052E0,1.293999939E2,3.790092468E0,2.500000000E0
5.744568675E1,6.498448830E1,2.551589139E1,1.124279429E1,1.610000014E0,1.391000061E2,3.790092468E0,2.500000000E0
5.844580310E1,6.498447564E1,2.551590648E1,1.108494371E1,1.590000033E0,1.533000031E2,3.790092468E0,2.500000000E0
5.944498545E1,6.498446179E1,2.551591512E1,1.096585020E1,1.620000005E0,1.645000000E2,3.790092468E0,2.500000000E0
6.044556691E1,6.498444817E1,2.551591769E1,1.055030995E1,1.600000024E0,1.725000000E2,3.790092468E0,2.500000000E0
6.144576102E1,6.498443479E1,2.551591913E1,1.054376665E1,1.570000052E0,1.746000061E2,3.790092468E0,2.500000000E0
6.244555899E1,6.498442159E1,2.551592194E1,1.071752118E1,1.559999943E0,1.731000061E2,3.790092468E0,2.500000000E0
6.344560461E1,6.498440883E1,2.551592405E1,1.097709165E1,1.519999981E0,1.746000061E2,3.790092468E0,2.500000000E0
6.444556628E1,6.498439552E1,2.551592650E1,1.136764300E1,1.549999952E0,1.733999939E2,3.790092468E0,2.500000000E0
6.544561721E1,6.498438146E1,2.551592880E1,1.166383333E1,1.539999962E0,1.741999969E2,3.790092468E0,2.500000000E0
6.644516180E1,6.498436729E1,2.551593034E1,1.171338060E1,1.529999971E0,1.751999969E2,3.790092468E0,2.500000000E0
6.744545294E1,6.498435319E1,2.551593234E1,1.177617250E1,1.539999962E0,1.743999939E2,3.790092468E0,2.500000000E0
6.844579143E1,6.498433902E1,2.551593342E1,1.183926962E1,1.580000043E0,1.748999939E2,3.790092468E0,2.500000000E0
6.944543794E1,6.498432493E1,2.551593488E1,1.186129012E1,1.509999990E0,1.745000000E2,3.790092468E0,2.500000000E0
7.044502904E1,6.498431115E1,2.551593574E1,1.205109662E1,1.509999990E0,1.751999969E2,3.790092468E0,2.500000000E0
7.144570252E1,6.498429720E1,2.551593711E1,1.204040241E1,1.559999943E0,1.740000000E2,3.790092468E0,2.500000000E0
7.244525232E1,6.498428333E1,2.551594051E1,1.224156103E1,1.590000033E0,1.723000031E2,3.790092468E0,2.500000000E0
7.344580117E1,6.498426982E1,2.551594322E1,1.225174108E1,1.570000052E0,1.723000031E2,3.790092468E0,2.500000000E0
7.444500164E1,6.498425681E1,2.551594722E1,1.229054690E1,1.549999952E0,1.701000061E2,3.790092468E0,2.500000000E0
7.544492737E1,6.498424419E1,2.551595225E1,1.211481438E1,1.509999990E0,1.686999969E2,3.790092468E0,2.500000000E0
7.644538690E1,6.498423122E1,2.551595608E1,1.213927700E1,1.529999971E0,1.698999939E2,3.790092468E0,2.500000000E0
7.744499669E1,6.498421790E1,2.551595868E1,1.208970382E1,1.519999981E0,1.708000031E2,3.790092468E0,2.500000000E0
7.844517976E1,6.498420425E1,2.551596114E1,1.190768406E1,1.559999943E0,1.715000000E2,3.790092468E0,2.500000000E0
7.944565112E1,6.498419106E1,2.551596465E1,1.196388480E1,1.549999952E0,1.700000000E2,3.790092468E0,2.500000000E0
8.044617627E1,6.498417777E1,2.551596878E1,1.192841056E1,1.559999943E0,1.701999969E2,3.790092468E0,2.500000000E0
8.144501539E1,6.498416431E1,2.551597160E1,1.188841974E1,1.549999952E0,1.711999969E2,3.790092468E0,2.500000000E0
8.244499684E1,6.498415143E1,2.551597593E1,1.165055328E1,1.500000000E0,1.701000061E2,3.790092468E0,2.500000000E0
8.344578361E1,6.498413858E1,2.551598408E1,1.170266437E1,1.509999990E0,1.656999969E2,3.790092468E0,2.500000000E0
8.444522908E1,6.498412586E1,2.551599237E1,1.180073503E1,1.539999962E0,1.655000000E2,3.790092468E0,2.500000000E0
8.544587575E1,6.498411302E1,2.551599915E1,1.174658411E1,1.559999943E0,1.676999969E2,3.790092468E0,2.500000000E0
8.644553830E1,6.498409976E1,2.551600521E1,1.147270633E1,1.549999952E0,1.698999939E2,3.790092468E0,2.500000000E0
8.744564434E1,6.498408623E1,2.551600732E1,1.125992500E1,1.580000043E0,1.763000031E2,3.790092468E0,2.500000000E0
8.844565512E1,6.498407321E1,2.551600634E1,1.105697122E1,1.529999971E0,1.816000061E2,3.790092468E0,2.500000000E0
8.944523257E1,6.498406069E1,2.551600566E1,1.069160330E1,1.480000019E0,1.835000000E2,3.790092468E0,2.500000000E0
9.044535908E1,6.498404746E1,2.551600068E1,1.035748530E1,1.559999943E0,1.911999969E2,3.790092468E0,2.500000000E0
9.144523132E1,6.498403494E1,2.551599017E1,9.980583027E0,1.519999981E0,1.993999939E2,3.790092468E0,2.500000000E0
9.244540793E1,6.498402287E1,2.551597536E1,9.710127050E0,1.570000052E0,2.066999969E2,3.790092468E0,2.500000000E0
9.344524548E1,6.498401045E1,2.551595864E1,9.302830180E0,1.659999967E0,2.093999939E2,3.790092468E0,2.500000000E0
9.444562866E1,6.498399879E1,2.551594162E1,8.970180047E0,1.629999995E0,2.108999939E2,3.790092468E0,2.500000000E0
9.544563236E1,6.498398700E1,2.551592332E1,8.562029473E0,1.679999948E0,2.120000000E2,3.790092468E0,2.500000000E0
9.644525668E1,6.498397457E1,2.551590549E1,8.284737623E0,1.700000048E0,2.121000061E2,3.790092468E0,2.500000000E0
9.744495340E1,6.498396157E1,2.551588879E1,8.119627715E0,1.720000029E0,2.098999939E2,3.790092468E0,2.500000000E0
9.844543955E1,6.498394876E1,2.551587164E1,7.843678198E0,1.690000057E0,2.106999969E2,3.790092468E0,2.500000000E0
9.944523017E1,6.498393597E1,2.551585317E1,7.982218619E0,1.679999948E0,2.101999969E2,3.790092468E0,2.500000000E0
1.004459110E2,6.498392246E1,2.551583518E1,7.931549329E0,1.700000048E0,2.091000061E2,3.790092468E0,2.500000000E0
1.014455280E2,6.498390901E1,2.551581750E1,7.733358080E0,1.679999948E0,2.101999969E2,3.790092468E0,2.500000000E0
1.024452014E2,6.498389563E1,2.551579905E1,7.579417486E0,1.700000048E0,2.100000000E2,3.790092468E0,2.500000000E0
1.034453232E2,6.498388207E1,2.551578039E1,7.492249214E0,1.720000029E0,2.096999969E2,3.790092468E0,2.500000000E0
1.044454296E2,6.498386833E1,2.551576331E1,7.381459963E0,1.700000048E0,2.098000031E2,3.790092468E0,2.500000000E0
